,off_pos,def_pos,time,period
36,1,0,09:30,1
35,0,1,09:14,1
34,0,1,08:56,1
33,1,0,08:50,1
32,1,0,08:38,1
31,1,0,08:12,1
30,0,1,07:55,1
29,1,0,07:38,1
28,1,0,07:34,1
27,0,1,07:28,1
26,1,0,07:11,1
25,0,1,06:43,1
24,1,0,06:11,1
23,1,0,05:25,1
22,1,0,05:04,1
21,0,1,04:25,1
20,1,0,04:18,1
19,1,0,04:07,1
18,0,1,03:53,1
17,1,0,03:37,1
16,0,1,03:24,1
15,1,0,03:18,1
14,1,0,03:12,1
13,1,0,03:03,1
12,0,1,02:55,1
11,1,0,02:37,1
10,1,0,02:10,1
9,1,0,02:00,1
8,1,0,01:49,1
7,0,1,01:36,1
6,1,0,01:23,1
5,0,1,01:13,1
4,1,0,01:01,1
3,0,1,00:41,1
2,1,0,00:21,1
1,0,1,00:14,1
0,1,0,00:12,1
75,0,1,09:58,2
74,1,0,09:21,2
73,1,0,09:14,2
72,0,1,08:27,2
71,1,0,08:19,2
70,1,0,08:09,2
69,0,1,07:53,2
68,1,0,07:40,2
67,0,1,07:21,2
66,1,0,07:12,2
65,0,1,06:45,2
64,1,0,06:25,2
63,1,0,06:17,2
62,1,0,06:16,2
61,1,0,06:09,2
60,0,1,06:02,2
59,1,0,05:40,2
58,0,1,05:18,2
57,0,1,05:16,2
56,1,0,05:15,2
55,0,1,04:34,2
54,1,0,04:29,2
53,1,0,04:25,2
52,1,0,04:16,2
51,0,1,03:54,2
50,1,0,03:44,2
49,0,1,03:29,2
48,1,0,03:19,2
47,0,1,02:59,2
46,1,0,02:41,2
45,0,1,02:33,2
44,1,0,02:04,2
43,0,1,01:26,2
42,1,0,01:00,2
41,0,1,00:44,2
40,1,0,00:16,2
39,1,0,00:13,2
38,0,1,00:03,2
37,1,0,00:00,2
106,1,0,09:49,3
105,0,1,09:23,3
104,1,0,09:15,3
103,0,1,08:57,3
102,1,0,08:42,3
101,1,0,08:21,3
100,1,0,08:16,3
99,1,0,07:53,3
98,1,0,07:16,3
97,1,0,07:12,3
96,0,1,06:44,3
95,1,0,06:29,3
94,1,0,06:22,3
93,1,0,06:20,3
92,1,0,05:50,3
91,1,0,05:30,3
90,0,1,05:06,3
89,0,1,05:03,3
88,1,0,04:52,3
87,1,0,03:58,3
86,1,0,03:26,3
85,1,0,03:07,3
84,0,1,02:31,3
83,1,0,02:20,3
82,0,1,02:00,3
81,1,0,01:41,3
80,0,1,01:27,3
79,1,0,01:06,3
78,0,1,00:46,3
77,1,0,00:22,3
76,0,1,00:00,3
151,0,1,09:50,4
150,1,0,09:34,4
149,1,0,09:30,4
148,1,0,09:24,4
147,0,1,09:11,4
146,1,0,08:50,4
145,0,1,08:27,4
144,1,0,08:20,4
143,1,0,08:12,4
142,1,0,07:54,4
141,0,1,07:52,4
140,1,0,07:31,4
139,0,1,07:21,4
138,1,0,07:16,4
137,0,1,07:01,4
136,1,0,06:34,4
135,1,0,06:23,4
134,0,1,05:56,4
133,1,0,05:28,4
132,0,1,05:15,4
131,1,0,05:03,4
130,0,1,04:41,4
129,1,0,04:30,4
128,0,1,04:15,4
127,0,1,04:12,4
126,1,0,04:02,4
125,0,1,03:33,4
124,1,0,03:03,4
123,1,0,02:33,4
122,1,0,02:24,4
121,0,1,02:17,4
120,0,1,02:02,4
119,0,1,02:00,4
118,1,0,01:40,4
117,0,1,01:28,4
116,1,0,01:27,4
115,0,1,01:12,4
114,1,0,01:08,4
113,0,1,00:59,4
112,1,0,00:57,4
111,0,1,00:52,4
110,1,0,00:48,4
109,0,1,00:39,4
108,1,0,00:37,4
107,0,1,00:26,4
